PERIODO;AMBITO;GERENCIA;TRAMOS_EDAD;SEXO;TIPO;ORD_CAT;GRUPO;CAT;ESPECIALIDAD;REGIMEN;VINCULACION;AÑO_FORM;TOTAL_EFECTIVOS;DESTINO ACTIVIDAD;TIPO_ESPECIALDAD;CENTRO_GESTOR
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. GESTION Y SERVICIOS;471;A1;P.T. TITULADO SUPERIOR;;ESTATUTARIO;INTERINO POR VACANTE;;3;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. GESTION Y SERVICIOS;520;A2;G. DE GESTION DE LA F.A.;;ESTATUTARIO;INTERINO POR VACANTE;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. GESTION Y SERVICIOS;560;A2;P.T. GRADO MEDIO;;ESTATUTARIO;INTERINO POR VACANTE;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. GESTION Y SERVICIOS;600;A2;TRABAJADOR SOCIAL;;ESTATUTARIO;FIJO;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. GESTION Y SERVICIOS;620;C1;COCINERO;;ESTATUTARIO;INTERINO POR VACANTE;;8;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. GESTION Y SERVICIOS;640;C1;DELINEANTE;;ESTATUTARIO;INTERINO POR VACANTE;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. GESTION Y SERVICIOS;700;C1;G. ADMINISTRATIVO;;ESTATUTARIO;INTERINO POR VACANTE;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. GESTION Y SERVICIOS;790;C1;TECNICO ESPECIALISTA DE SISTEMAS Y TECNOLOGIAS DE LA INFORMACION;;ESTATUTARIO;INTERINO POR VACANTE;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. GESTION Y SERVICIOS;930;C2;CALEFACTOR;;ESTATUTARIO;INTERINO POR VACANTE;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. GESTION Y SERVICIOS;990;C2;ELECTRICISTA;;ESTATUTARIO;INTERINO POR VACANTE;;4;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. GESTION Y SERVICIOS;1030;C2;G. AUXILIAR ADMINISTRATIVO;;ESTATUTARIO;FIJO;;4;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. GESTION Y SERVICIOS;1030;C2;G. AUXILIAR ADMINISTRATIVO;;ESTATUTARIO;INTERINO POR VACANTE;;3;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. GESTION Y SERVICIOS;1080;C2;MECANICO;;ESTATUTARIO;INTERINO POR VACANTE;;4;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. GESTION Y SERVICIOS;1180;C2;TELEFONISTA;;ESTATUTARIO;INTERINO POR VACANTE;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. GESTION Y SERVICIOS;1200;E;CELADOR;;ESTATUTARIO;FIJO;;14;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. GESTION Y SERVICIOS;1200;E;CELADOR;;ESTATUTARIO;INTERINO POR VACANTE;;45;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. GESTION Y SERVICIOS;1220;E;LAVANDERA;;ESTATUTARIO;INTERINO POR VACANTE;;1;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. GESTION Y SERVICIOS;1240;E;PEON;;ESTATUTARIO;INTERINO POR VACANTE;;2;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. GESTION Y SERVICIOS;1250;E;PINCHE;;ESTATUTARIO;INTERINO POR VACANTE;;7;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. PROFESIONAL;61;C1;T.S. ANATOMIA PATOLOGICA;;ESTATUTARIO;INTERINO POR VACANTE;;3;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. PROFESIONAL;62;C1;T.S. LABORATORIO;;ESTATUTARIO;FIJO;;2;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
DATOS A 30 DE ABRIL DE 2023;HOSPITALARIA;H. U. LA PAZ;< 40;H;P. SANITARIO FORM. PROFESIONAL;62;C1;T.S. LABORATORIO;;ESTATUTARIO;INTERINO POR VACANTE;;13;EFECTIVOS EN HOSPITALES TRADICIONALES;;171188201
