SECUENCIA;COD_AREA;DENOMINACION_AREA;COD_ORGANO_DIRECTIVO;DENOMINACION_ORGANO_DIRECTIVO;COD_GRUPO_PERSONAL;DESC__GRUPO_PERSONAL;COD_GRUPO_TITULACION;DESC_GRUPO_TITULACION;COD_CATEGORIA;DESC_CATEGORIA;COD_SEXO;DESC_SEXO;RANGO_EDAD;TOTAL_PERSONAS;MES_DATOS;ANIO_DATOS;FX_CARGA;FX_DATOS_INI;FX_DATOS_FIN
"245";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"T";"Laboral Temporal";"C1";"Bachillerato,B.U.P.,F.P. 2º grado";"WC16";"MONITOR DEPORTIVO";"H";"Hombre";"50 - 54";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"246";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"T";"Laboral Temporal";"C2";"Graduado Escolar,F.P. de 1º grado";"WD06";"AUXILIAR ADMINISTRATIVO-TAQUILLERO";"M";"Mujer";"30 - 34";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"247";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"T";"Laboral Temporal";"C2";"Graduado Escolar,F.P. de 1º grado";"WD06";"AUXILIAR ADMINISTRATIVO-TAQUILLERO";"M";"Mujer";"50 - 54";2;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"248";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"T";"Laboral Temporal";"C2";"Graduado Escolar,F.P. de 1º grado";"WD16";"TECNICO SALVAMENTO SOCORRISMO";"M";"Mujer";"< 25";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"249";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"T";"Laboral Temporal";"C2";"Graduado Escolar,F.P. de 1º grado";"WD16";"TECNICO SALVAMENTO SOCORRISMO";"H";"Hombre";"35 - 39";3;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"250";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"T";"Laboral Temporal";"E";"Certificado de Escolaridad";"WE04";"OPERARIO 1";"M";"Mujer";"55 - 59";8;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"251";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"T";"Laboral Temporal";"E";"Certificado de Escolaridad";"WE04";"OPERARIO 1";"M";"Mujer";"60 - 64";3;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"252";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"T";"Laboral Temporal";"E";"Certificado de Escolaridad";"WE04";"OPERARIO 1";"H";"Hombre";"35 - 39";3;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"253";"10000003";"Distrito de Arganzuela                                                          ";"10006150";"Coordinación del Distrito de Arganzuela                                         ";"T";"Laboral Temporal";"E";"Certificado de Escolaridad";"WE04";"OPERARIO 1";"H";"Hombre";"60 - 64";3;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
"254";"10000003";"Distrito de Arganzuela                                                          ";" ";"";"E";"Eventual";"X";"Sin grupo de titulación";"A000";"PERSONAL EVENTUAL                                           ";"H";"Hombre";"35 - 39";1;1;2023;"2023-02-03 08:00:19.227";"2023-02-01";"2023-02-01"
