Sexo;Edad;Nacionalidad;Fecha de alta;Fecha de baja;Situación laboral;Nivel académico;Distrito;Barrio;Número
Mujer;73-82;ESPAÑOLA;04/10/2012;-;-;200-N NS/NC;CHAMARTIN;PROSPERIDAD;1
Mujer;52-61;ESPAÑOLA;24/07/2020;-;Trabajando;08-A Licenciado Universitario;SAN BLAS - CANILLEJAS;REJAS;1
Varón;46-55;ESPAÑOLA;09/05/2022;-;Desempleado/a;-;LATINA;ALUCHE;1
Mujer;82-91;ESPAÑOLA;19/10/2011;-;Trabajando;02-A EGB/Graduado Escolar;FUENCARRAL-EL PARDO;VALVERDE;1
Mujer;50-59;ESPAÑOLA;02/04/2009;-;Trabajando;07-A Diplomado Universitario;VILLAVERDE;VILLAVERDE ALTO C.H.;1
Varón;61-70;ESPAÑOLA;28/04/2016;-;Trabajando;03-A BUP/Bachillerato;ARGANZUELA;LEGAZPI;1
Mujer;47-56;ESPAÑOLA;19/01/2016;31/01/2022;Trabajando;03-A BUP/Bachillerato;PUENTE DE VALLECAS;NUMANCIA;1
Varón;63-72;ESPAÑOLA;13/02/2023;-;Jubilado/a;08-A Licenciado Universitario;FUENCARRAL-EL PARDO;PEÑA GRANDE;1
Varón;77-86;ESPAÑOLA;29/01/2019;-;-;-;RETIRO;ESTRELLA;1
Varón;63-72;ESPAÑOLA;14/02/2019;-;Desempleado/a;02-A EGB/Graduado Escolar;PUENTE DE VALLECAS;NUMANCIA;1
Mujer;21-30;ESPAÑOLA;20/02/2023;-;Estudiando;03-A BUP/Bachillerato;CARABANCHEL;ABRANTES;1
Varón;29-38;ESPAÑOLA;31/10/2022;-;Trabajando;08-A Licenciado Universitario;CHAMBERI;ALMAGRO;1
Mujer;24-33;POLACA;14/02/2022;30/06/2022;Estudiando;04-A FP;CENTRO;EMBAJADORES;1
Varón;61-70;ESPAÑOLA;17/01/2023;-;Jubilado/a;-;CIUDAD LINEAL;COLINA;1
Varón;41-50;ESPAÑOLA;19/03/2008;-;Trabajando;02-A EGB/Graduado Escolar;CENTRO;CORTES;1
Mujer;>90;ESPAÑOLA;26/10/2022;-;Trabajando;-;CENTRO;JUSTICIA;1
Varón;89-98;ESPAÑOLA;11/04/2015;22/03/2023;Jubilado/a;200-N NS/NC;SALAMANCA;GOYA;1
Mujer;59-68;ESPAÑOLA;26/08/2021;-;Jubilado/a;08-A Licenciado Universitario;CHAMARTIN;HISPANOAMERICA;1
Mujer;43-52;ESPAÑOLA;29/05/2007;-;Estudiando;07-A Diplomado Universitario;SALAMANCA;LISTA;1
Mujer;48-57;ESPAÑOLA;13/04/2018;-;Trabajando;04-A FP;LATINA;LAS AGUILAS;1
Mujer;75-84;ESPAÑOLA;18/01/2022;-;-;-;RETIRO;ESTRELLA;1
Mujer;>90;ESPAÑOLA;28/12/2015;-;Estudiando;200-N NS/NC;MORATALAZ;PAVONES;1
Mujer;52-61;ESPAÑOLA;11/05/2022;-;-;-;CENTRO;JUSTICIA;1
Mujer;39-48;ESPAÑOLA;24/04/2023;-;Trabajando;106-N Licenciado Universitario;CHAMBERI;TRAFALGAR;1
Mujer;32-41;ESPAÑOLA;06/05/2011;-;-;200-N NS/NC;OTROS;OTROS;1
Varón;55-64;ESPAÑOLA;22/07/2021;-;Trabajando;-;SALAMANCA;RECOLETOS;1
Mujer;81-90;ESPAÑOLA;29/06/2007;30/06/2020;Otra situación;02-A EGB/Graduado Escolar;LATINA;ALUCHE;1
Mujer;83-92;ESPAÑOLA;18/07/2014;-;-;200-N NS/NC;PUENTE DE VALLECAS;PALOMERAS BAJAS;1
Mujer;46-55;ESPAÑOLA;26/05/2008;31/01/2019;Trabajando;200-N NS/NC;ARGANZUELA;IMPERIAL;1
Mujer;37-46;ESPAÑOLA;13/02/2013;-;Trabajando;03-A BUP/Bachillerato;OTROS;OTROS;1
Mujer;54-63;ESPAÑOLA;18/07/2019;-;Trabajando;02-A EGB/Graduado Escolar;OTROS;OTROS;1
Mujer;17-26;ESPAÑOLA;03/02/2022;-;Estudiando;03-A BUP/Bachillerato;MORATALAZ;HORCAJO;1
Mujer;79-88;ESPAÑOLA;21/06/2013;-;Jubilado/a;02-A EGB/Graduado Escolar;HORTALEZA;CANILLAS;1
Mujer;21-30;ESPAÑOLA;05/07/2022;-;Estudiando;08-A Licenciado Universitario;FUENCARRAL-EL PARDO;VALVERDE;1
Mujer;30-39;ESPAÑOLA;10/10/2013;-;Estudiando;104-N Ciclo Formativo Grado Superior;LATINA;ALUCHE;1
Varón;54-63;ESPAÑOLA;24/02/2012;-;Jubilado/a;03-A BUP/Bachillerato;CHAMARTIN;HISPANOAMERICA;1
